customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,BillingDelayDays,LastSupportContactDaysAgo,ContractRenewalRemainingDays,TechComplaint,NumSupportCalls,CustomerSatisfaction,HasMultipleServices,AvgMonthlyRevenue,PaymentRegularityIndex,SupportInteractionRate,LoyaltyScore,PromoResponse,NetPromoterScore,ChurnBinary,ChargesTenureRatio,JoinDate,LastActiveDate
TC0006870,No,Male,0.0,No,No,72.0,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),100.24716329102186,7225.239826138523,31,52,6,0,2,3,1,100.35055314081282,0.4833333333333333,0.027777777777777776,77.67,0,5,0,1.3923217123753036,2019-10-03 00:00:00.000000000,2025-09-01
TC0007920,No,Female,0.0,No,No,72.0,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,19.43903684296912,1408.6315864454527,24,117,2,0,0,2,0,19.564327589520175,0.6,0.0,64.0,0,3,0,0.26998662281901553,2019-10-03 00:00:00.000000000,2025-09-01
4376-KFVRS,No,Male,0.0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8296.366700353687,34,58,190,0,1,1,1,115.22731528269009,0.43333333333333335,0.013888888888888888,64.67,0,0,0,1.5840277777777778,2019-10-03 00:00:00.000000000,2025-09-01
7203-OYKCT,No,Male,0.0,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.95,7544.3,8,8,207,1,1,2,1,104.78194444444445,0.8666666666666667,0.013888888888888888,79.33,1,3,0,1.457638888888889,2019-10-03 00:00:00.000000000,2025-09-01
TC0007314,No,Female,0.0,Yes,No,72.0,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.78067267043406,4303.305185130265,19,15,11,0,2,3,0,59.768127571253686,0.6833333333333333,0.027777777777777776,71.67,1,5,0,0.8302871204226953,2019-10-03 00:00:00.000000000,2025-09-01
TC0003633,No,Male,1.0,No,Yes,72.0,Yes,No,No,Yes,No,No internet service,Yes,No,Yes,Two year,Yes,Credit card (automatic),52.38723896387966,3774.881045779736,22,96,123,0,0,1,1,52.42890341360744,0.6333333333333333,0.0,68.67,0,1,0,0.7276005411649953,2019-10-03 00:00:00.000000000,2025-09-01
9489-JMTTN,No,Female,0.0,Yes,Yes,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.75,6595.9,43,112,106,0,3,3,1,91.60972222222222,0.2833333333333333,0.041666666666666664,73.67,0,4,0,1.2465277777777777,2019-10-03 00:00:00.000000000,2025-09-01
6917-FIJHC,No,Female,0.0,Yes,No,72.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.0,1776.0,24,73,230,0,2,4,0,24.666666666666668,0.6,0.027777777777777776,76.0,1,7,0,0.3611111111111111,2019-10-03 00:00:00.000000000,2025-09-01
2569-WGERO,No,Female,0.0,No,No,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.15,1419.4,33,86,212,0,3,1,0,19.71388888888889,0.44999999999999996,0.041666666666666664,55.0,0,0,0,0.29374999999999996,2019-10-03 00:00:00.000000000,2025-09-01
1927-QEWMY,No,Female,0.0,Yes,No,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,1502.25,38,51,161,0,1,1,0,20.864583333333332,0.3666666666666667,0.013888888888888888,53.33,0,0,0,0.2847222222222222,2019-10-03 00:00:00.000000000,2025-09-01
