customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,BillingDelayDays,LastSupportContactDaysAgo,ContractRenewalRemainingDays,TechComplaint,NumSupportCalls,CustomerSatisfaction,HasMultipleServices,AvgMonthlyRevenue,PaymentRegularityIndex,SupportInteractionRate,LoyaltyScore,PromoResponse,NetPromoterScore
7590-VHVEG,No,Female,0.0,Yes,No,1.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,2,69,27,0,2,4,0,29.85,0.9666666666666667,1.0,43.89,1,8
5575-GNVDE,No,Male,0.0,No,No,34.0,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,43,82,75,1,1,1,0,55.5735294117647,0.2833333333333333,0.029411764705882353,30.56,0,0
3668-QPYBK,Yes,Male,0.0,No,No,2.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,26,44,10,0,1,5,0,54.075,0.5666666666666667,0.5,42.44,1,9
7795-CFOCW,No,Male,0.0,No,No,45.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,34,102,147,0,2,1,0,40.90555555555556,0.43333333333333335,0.044444444444444446,39.67,0,0
9237-HQITU,Yes,Female,0.0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,18,56,26,0,1,2,0,75.825,0.7,0.5,27.11,0,2
9305-CDSKC,Yes,Female,0.0,No,No,8.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,13,120,1,0,4,3,1,102.5625,0.7833333333333333,0.5,48.11,1,4
1452-KIOVK,No,Male,0.0,No,Yes,22.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,19,57,17,1,3,5,1,88.60909090909091,0.6833333333333333,0.13636363636363635,65.89,0,10
6713-OKOMC,No,Female,0.0,No,No,10.0,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,19,88,6,1,2,4,0,30.189999999999998,0.6833333333333333,0.2,43.22,1,7
7892-POOKP,Yes,Female,0.0,Yes,No,28.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,19,8,8,1,3,4,1,108.78750000000001,0.6833333333333333,0.10714285714285714,63.22,1,6
6388-TABGU,No,Male,0.0,No,Yes,62.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,6,14,353,0,1,4,0,56.25725806451613,0.9,0.016129032258064516,76.44,0,8
9763-GRSKD,No,Male,0.0,Yes,Yes,13.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,8,12,17,1,1,3,0,45.18846153846154,0.8666666666666667,0.07692307692307693,42.56,0,5
7469-LKBCI,No,Male,0.0,No,No,16.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,54,106,282,0,2,3,0,20.425,0.09999999999999998,0.125,28.89,0,4
8091-TTVAX,No,Male,0.0,Yes,No,58.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,10,61,207,0,2,4,1,97.95,0.8333333333333334,0.034482758620689655,82.89,0,7
0280-XJGEX,Yes,Male,0.0,No,No,49.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,22,118,13,0,2,2,1,102.78163265306122,0.6333333333333333,0.04081632653061224,61.89,0,3
5129-JLPIS,No,Male,0.0,No,No,25.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,26,67,20,0,4,2,1,107.44200000000001,0.5666666666666667,0.16,47.22,0,2
3655-SNQYZ,No,Female,0.0,Yes,Yes,69.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,27,110,205,1,3,3,1,114.42246376811593,0.55,0.043478260869565216,77.33,0,7
8191-XWSZG,No,Female,0.0,No,No,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,41,61,326,0,1,3,0,19.672115384615385,0.31666666666666665,0.019230769230769232,53.22,1,4
9959-WOFKT,No,Male,0.0,No,Yes,71.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,35,20,309,1,0,1,1,103.97535211267606,0.41666666666666663,0.0,63.78,0,0
4190-MFLUW,Yes,Female,0.0,Yes,Yes,10.0,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,44,113,5,1,3,1,0,52.835,0.2666666666666667,0.3,16.89,1,2
4183-MYFRB,No,Female,0.0,No,No,21.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,9,117,18,1,4,2,1,88.70952380952382,0.85,0.19047619047619047,50.67,0,4
8779-QRDMV,Yes,Male,1.0,No,No,1.0,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,6,87,0,0,1,1,0,39.65,0.9,1.0,24.56,0,0
